literal	components	onyomi	component_only_set	phono_component_sets	largest_phonetic_set_size	reliability_rating
尺	['八', '尸']	['シャク', 'セキ']	['駅', '択', '尽', '沢', '侭', '咫', '昼', '訳', '鈬']	[['釈', '呎'], ['釈']]	2	0.182
峠	['一', '卜', '上', '山', '下']	[]	[]	[]	0	0
詼	['厂', '火', '言', '口', '灰']	['カイ']	[]	[]	0	0
閉	['扌', '門', '亅', '才']	['ヘイ']	[]	[]	0	0
衾	['今', '一', '亠', '衣', '人']	['キン']	[]	[]	0	0
筒	['一', '口', '冂', '同', '竹']	['トウ']	[]	[]	0	0
黒	['日', '灬', '里']	['コク']	['黛', '纒', '墨', '黙']	[]	0	0
橿	['一', '木', '畺', '田']	['キョウ']	[]	[]	0	0
魎	['田', '兩', '冂', '丿', '鬼', '厶', '儿', '入']	['リョウ']	[]	[]	0	0
鮴	['田', '木', '魚', '灬', '亻', '𠂊', '休']	[]	[]	[]	0	0
篌	['天', '亻', '侯', '大', '矢', '竹']	['ゴ', 'コウ']	[]	[]	0	0
嶽	['丶', '言', '大', '口', '⺨', '山', '獄', '犬']	['ガク']	[]	[]	0	0
鯀	['田', '魚', '灬', '丿', '𠂊', '系', '糸']	['コン']	[]	[]	0	0
被	['皮', '衤']	['ヒ']	[]	[]	0	0
読	['言', '丿', '口', '冖', '儿', '売', '士']	['ドク', 'トク', 'トウ']	[]	[]	0	0
輓	['丿', '免', '𠂊', '車', '儿']	['バン']	[]	[]	0	0
筆	['⺕', '丨', '竹', '聿']	['ヒツ']	[]	[]	0	0
橘	['木', '了', '冂', '矛', '丿', '予', '亅', '口', '儿', 'マ', '矞', '冏']	['キツ']	[]	[]	0	0
魚	['田', '𠂊', '灬']	['ギョ']	['鰯', '鰈', '鰻', '鮗', '鮃', '鮎', '鮖', '鰉', '鰡', '鰺', '鰮', '鮨', '鯏', '鮴', '鯀', '鰭', '鰲', '鮑', '鮟', '鰾', '鰥', '鯆', '鮒', '鮓', '鯊', '鰰', '鰤', '癬', '鱗', '鱚', '鯛', '鯔', '鯡', '鯣', '鯢', '鯖', '薊', '鯒', '鱸', '鱆', '鱒', '鯑', '鯤', '鱇', '鱶', '鯵', '櫓', '鯨', '蘚', '鱈', '鱠', '蘇', '蘓', '鯲', '鱧', '鯰', '鯱', '鰕', '鮭', '魯', '魴', '鮮', '鰛', '鰔', '艪', '鰍', '鯉', '鮠', '鰊', '鰓', '鮫', '鮹', '鰆', '鰒', '鰄', '鰐', '鮪', '鰹', '鰌']	[['漁']]	1	0.013
峯	['三', '一', '丰', '山', '夂', '夆', '丨']	['ホウ']	[]	[]	0	0
ジ	[]	[]	[]	[]	0	0
カ	[]	[]	[]	[]	0	0
哩	['口', '里', '日']	['リ']	[]	[]	0	0
鋳	['三', '一', '金', '丿', '寿', '寸']	['チュウ', 'イ', 'シュ', 'シュウ']	[]	[]	0	0
畳	['一', '田', '冖', '且', '月']	['ジョウ', 'チョウ']	[]	[]	0	0
疫	['疒', '殳', '丿', '又', '几']	['エキ', 'ヤク']	[]	[]	0	0
疸	['日', '一', '旦', '疒']	['タン']	[]	[]	0	0
び	[]	[]	[]	[]	0	0
で	[]	[]	[]	[]	0	0
蛎	['厂', '一', '中', '口', '虫', '丨', '万']	['レイ']	[]	[]	0	0
畧	['口', '田', '各', '夂']	['リャク']	[]	[]	0	0
虔	['一', '文', '亠', '七', '虍', '乂']	['ケン']	[]	[]	0	0
嶝	['登', '豆', '癶', '口', '山']	['トウ']	[]	[]	0	0
印	['丿', '丨', '卩']	['イン']	[]	[]	0	0
臑	['而', '雨', '需', '冂', '月']	['ジ', 'ドウ', 'ジュ', 'デイ']	[]	[]	0	0
イ	[]	[]	[]	[]	0	0
単	['一', '丶', '日', '十', '⺍', '甲', '丨']	['タン']	['禅', '戦', '蝉']	[['褝', '弾', '箪', '騨']]	4	0.571
名	['夕', '口']	['メイ', 'ミョウ']	[]	[['銘', '酩', '茗'], ['茗']]	3	1.0
ま	[]	[]	[]	[]	0	0
な	[]	[]	[]	[]	0	0
卿	['艮', '丿', '即', '卩']	['ケイ', 'キョウ']	[]	[]	0	0
臥	['人', '臣']	['ガ']	[]	[]	0	0
番	['釆', '田', '丿', '米']	['バン']	['蟠', '飜', '鐇', '旛', '瀋', '膰', '潘', '鷭', '翻', '審', '燔', '繙', '旙', '藩']	[['蕃', '幡', '播']]	3	0.176
私	['丿', '禾', '木', '厶']	['シ']	[]	[]	0	0
油	['日', '由', '丨', '氵']	['ユ', 'ユウ']	[]	[]	0	0
堪	['八', '土', '甘', '十', '丿', '匹', '匚', '儿', '廿', '甚']	['カン', 'タン']	[]	[]	0	0
嫖	['票', '示', '女', '覀']	['ヒョウ']	[]	[]	0	0
彊	['一', '畺', '弓', '田']	['キョウ', 'ゴウ']	[]	[]	0	0
汲	['丿', '及', '又', '氵']	['キュウ']	[]	[]	0	0
淺	['戔', '丶', '丿', '戈', '氵', '弋']	['セン']	[]	[]	0	0
豺	['豸', '扌', '亅', '才']	['サイ']	[]	[]	0	0
乱	['舌', '口', '乙', '千']	['ラン', 'ロン']	[]	[]	0	0
壤	['三', '一', '土', '亠', '襄', '衣', '口']	['ジョウ']	[]	[]	0	0
娼	['昌', '女', '日']	['ショウ']	[]	[]	0	0
娉	['日', '由', '甹', '女', '丨']	['ヘイ', 'ホウ']	[]	[]	0	0
忄	[]	['シン']	['悚', '悗', '悃', '恨', '愴', '愡', '愉', '悖', '悍', '悛', '悔', '悴', '恃', '悼', '悩', '恂', '悵', '恍', '悁', '悌', '恆', '恒', '情', '愽', '懐', '愾', '愧', '恊', '悟', '悋', '悄', '悒', '悽', '惆', '懦', '恟', '惇', '罹', '怺', '憔', '慚', '忤', '忸', '快', '慍', '惜', '怯', '惚', '憚', '憎', '慨', '憺', '懍', '憶', '怡', '怙', '懆', '慌', '忖', '慟', '慄', '憾', '懊', '惧', '惓', '怫', '怦', '懌', '慊', '慓', '憐', '怪', '性', '惟', '怖', '慢', '忙', '忰', '慷', '慣', '懈', '惨', '惻', '惴', '惶', '怜', '怩', '怕', '慵', '慴', '憮', '慯', '惺', '怛', '怏', '怐', '憧', '慘', '慥', '慱', '惘', '惰', '慳', '憫', '憤', '忻', '憬', '惱', '懶', '愕', '懺', '愀', '懷', '恠', '恢', '懼', '愃', '愎', '懴', '悸', '恪', '恰', '恤', '悧', '恫', '懾', '懽', '恬', '悦']	[['愼', '慎', '忱']]	3	0.023
負	['八', '𠂊', '目', '貝']	['フ']	[]	[]	0	0
贅	['攵', '放', '八', '土', '亠', '丿', '𠂉', '目', '貝', '乂', '方', '敖']	['セイ']	[]	[]	0	0
賈	['目', '八', '貝', '覀']	['カ', 'コ']	[]	[['價']]	1	1.0
洛	['口', '各', '夂', '氵']	['ラク']	[]	[['落']]	1	1.0
祖	['一', '礻', '且', '月']	['ソ']	[]	[]	0	0
汽	['气', '𠂉', '氵']	['キ']	[]	[]	0	0
乙	[]	['オツ', 'イツ']	['孔', '尻', '馳', '乾', '乳', '扎', '抛', '髢', '乱', '贄', '吃', '染', '煢', '旭', '伜', '池', '馗', '葹', '乢', '札', '藝', '翆', '執', '蝨', '丸', '胤', '粋', '埶', '紮', '訖', '礼', '囈', '施', '訊', '屹', '七', '蟄', '釶', '迅', '忰', '塾', '迄', '屯', '鷙', '弛', '巴', '枠', '究', '地', '笂', '他', '軋', '卆', '乞', '九', '吼', '軌', '砕', '鳩', '也', '仇', '熟', '亂', '勢', '熱', '孰', '褻', '摯', '糺', '雑', '酔']	[]	0	0
壟	['龍', '土', '亠', '立', '月']	['ロウ', 'リョウ']	[]	[]	0	0
写	['与', '一', '冖']	['シャ', 'ジャ']	[]	[]	0	0
士	[]	['シ']	['艇', '妊', '饐', '挺', '橲', '恁', '酲', '続', '読', '壹', '壬', '衽', '熹', '廚', '詰', '馨', '壯', '檮', '結', '磬', '稠', '頡', '惆', '黠', '壮', '贖', '竇', '鱚', '鯛', '犢', '莊', '捨', '樹', '拮', '籌', '嬉', '殪', '續', '任', '弉', '霆', '儔', '擣', '襭', '佶', '屆', '牘', '膨', '擡', '荏', '穀', '姙', '荘', '蠧', '覿', '讀', '隷', '鼓', '裝', '澎', '周', '涜', '噎', '賣', '纈', '舎', '舗', '霪', '凭', '劼', '鑄', '鼕', '殼', '薹', '庭', '婬', '憙', '轂', '皷', '殻', '髻', '雕', '桔', '梃', '売', '壽', '週', '彫', '賃', '吉', '愨', '疇', '鐵', '鐡', '奘', '款', '躊', '綢', '簓', '蜩', '蟶', '装', '壱', '凋', '嘉', '瞽', '声', '聲', '喜', '懿', '壻', '彭', '壼', '袵', '濤', '黷', '廷', '謦', '僖', '壺', '淫', '壷', '郢', '禧', '臺', '調']	[['志', '痣', '仕', '誌']]	4	0.031
当	['⺌', '⺕']	['トウ']	[]	[['档']]	1	1.0
混	['匕', '比', '日', '昆', '氵']	['コン']	[]	[]	0	0
蒜	['艹', '示']	['サン']	[]	[]	0	0
駄	['丶', '灬', '大', '馬', '太']	['ダ', 'タ']	[]	[]	0	0
貯	['一', '八', '丁', '宁', '宀', '亅', '冖', '目', '貝']	['チョ']	[]	[]	0	0
娵	['又', '耳', '取', '女']	['シュ', 'シュウ', 'ス', 'ソウ']	[]	[]	0	0
亦	['亠', '丿', '亅']	['エキ', 'ヤク']	['恋', '湾', '蛮', '変', '弯', '迹', '跡']	[['奕'], ['奕']]	1	0.125
按	['宀', '冖', '扌', '女', '安']	['アン']	[]	[]	0	0
蒼	['口', '艹', '倉', '人']	['ソウ']	[]	[]	0	0
固	['口', '十', '囗', '古']	['コ']	[]	[['箇', '個', '涸', '痼', '錮', '凅']]	6	1.0
律	['聿', '亻', '⺕', '彳', '丨']	['リツ', 'レツ', 'リチ']	[]	[['葎']]	1	1.0
睥	['田', '十', '丿', '卑', '目']	['ヘイ']	[]	[]	0	0
揖	['口', '耳', '扌', '咠']	['イツ', 'ユ', 'シュウ', 'ユウ']	[]	[]	0	0
靈	['从', '巫', '雨', '口', '工', '人']	['レイ', 'リョウ']	[]	[]	0	0
逝	['斤', '扌', '⻌', '折']	['セイ']	[]	[]	0	0
撰	['共', '八', '己', '扌', '巽']	['サン', 'セン']	[]	[]	0	0
鞣	['了', '木', '矛', '十', '丿', '柔', '予', '亅', '革', '廿', 'マ']	['ジュウ', 'ニュウ']	[]	[]	0	0
冬	['冫', '夂']	['トウ']	['鮗', '終', '柊', '螽']	[['苳', '鼕', '疼']]	3	0.429
嘔	['口', '品', '匚', '區']	['オウ', 'ク']	[]	[]	0	0
逆	['凵', '屰', '丿', '⻌', '屮']	['ギャク', 'ゲキ']	[]	[]	0	0
瀚	['羽', '早', '日', '十', '𠦝', '翰', '氵']	['カン']	[]	[]	0	0
茘	['艹', '刀']	['レイ', 'リ', 'レン']	[]	[]	0	0
茫	['亠', '匸', '氵', '亡', '艹']	['ボウ']	[]	[]	0	0
径	['圣', '土', '亻', '彳', '又']	['ケイ']	[]	[]	0	0
菓	['果', '艹', '木', '日']	['カ']	[]	[]	0	0
靠	['口', '非', '牛', '告']	['コウ']	[]	[]	0	0
禁	['示', '林', '木']	['キン']	[]	[['噤', '襟']]	2	1.0
沙	['少', '丿', '小', '氵']	['サ', 'シャ']	[]	[['鯊', '莎', '裟', '娑'], ['鯊', '莎', '裟', '娑']]	4	1.0
靴	['匕', '十', '亻', '化', '革', '廿']	['カ']	[]	[]	0	0
徐	['小', '余', '亻', '彳', '人']	['ジョ']	[]	[]	0	0
冥	['八', '六', '日', '亠', '冖']	['メイ', 'ミョウ']	['榠', '幎']	[['暝', '螟', '瞑', '溟'], ['暝', '螟', '瞑']]	4	0.667
嘛	['厂', '木', '广', '口', '麻', '林']	['マ']	[]	[]	0	0
蓁	['三', '一', '禾', '木', '丿', '大', '秦', '人', '艹']	['シン']	[]	[]	0	0
徑	['一', '亻', '彳', '工', '巠', '巛']	['ケイ']	[]	[]	0	0
揚	['一', '勿', '勹', '昜', '日', '旦', '扌']	['ヨウ']	[]	[]	0	0
禀	['示', '㐭', '亠', '口', '囗', '回']	['リン', 'ヒン']	[]	[['凛']]	1	1.0
睫	['⺕', '目', '疌']	['ショウ']	[]	[]	0	0
鞭	['便', '更', '日', '十', '亻', '丿', '革', '廿', '乂']	['ベン', 'ヘン']	[]	[]	0	0
逓	['厂', '丿', '巾', '⻌', '二', '乕']	['テイ']	[]	[]	0	0
嘩	['口', '華', '艹', '丨']	['カ', 'ケ']	[]	[]	0	0
冤	['丶', '丿', '免', '刀', '冖', '兔', '儿']	['エン']	[]	[]	0	0
靡	['厂', '木', '非', '广', '麻', '林']	['ヒ', 'ビ', 'ミ']	[]	[]	0	0
揮	['冖', '扌', '軍', '車']	['キ']	[]	[]	0	0
葎	['律', '聿', '亻', '⺕', '彳', '艹', '丨']	['リツ']	[]	[]	0	0
睿	['卜', '冖', '目']	['エイ']	['濬']	[['叡']]	1	0.5
待	['土', '亻', '彳', '寺', '寸']	['タイ']	[]	[]	0	0
兪	['一', '刂', '入', '月']	['ユ']	['鍮', '偸', '喻']	[['輸', '愈', '愉', '楡', '覦', '渝', '揄', '蝓', '踰', '諭', '癒', '瑜', '逾', '喩', '瘉']]	15	0.833
靉	['心', '云', '雲', '雨', '冖', '厶', '夂', '二', '⺤', '愛']	['アイ', 'イ']	[]	[]	0	0
靼	['一', '日', '十', '革', '旦', '廿']	['タン', 'タチ', 'タツ']	[]	[]	0	0
福	['畐', '一', '礻', '田', '口']	['フク']	[]	[]	0	0
貉	['口', '豸', '各', '夂']	['カク', 'ハク']	[]	[]	0	0
著	['土', '日', '耂', '艹', '者']	['チョ', 'チャク']	[]	[['墸', '躇'], ['躇']]	2	1.0
关	['天', '大', '丷']	[]	['関', '咲']	[]	0	0
冫	[]	['ヒョウ']	['鰯', '鮗', '鈞', '終', '檪', '冬', '蒻', '跳', '尽', '逃', '摂', '凉', '晁', '瓷', '搦', '柊', '蟀', '函', '韵', '弱', '窕', '侭', '寒', '塁', '嫋', '唹', '佻', '姚', '於', '螽', '匀', '楽', '渋', '諮', '咨', '苳', '姿', '涵', '凝', '粢', '凖', '眺', '鯲', '鼕', '薬', '銚', '凜', '凛', '軣', '鶸', '决', '冲', '准', '冽', '桃', '凋', '凄', '凅', '冱', '凌', '兆', '誂', '閼', '恣', '溺', '蔆', '懿', '况', '挑', '茨', '冴', '疼', '率', '盗', '次', '均', '嵶', '淤', '資', '冶', '凍', '冷', '疂', '冷']	[['憑', '冰', '馮']]	3	0.034
茱	['艹', '朱', '木', '未']	['シュ']	[]	[]	0	0
振	['厂', '辰', '扌']	['シン']	[]	[]	0	0
逞	['呈', '口', '王', '辶']	['テイ']	[]	[]	0	0
蒻	['艹', '冫', '弱', '弓']	['ジャク', 'ニャク']	[]	[]	0	0
擅	['一', '㐭', '亠', '日', '口', '扌', '旦', '亶', '囗', '回']	['セン']	[]	[]	0	0
挈	['刀', '手', '丰']	['ケイ', 'ケツ']	[]	[]	0	0
後	['亻', '夂', '彳', '幺']	['ゴ', 'コウ']	[]	[]	0	0
揣	['耑', '而', '扌', '山', '冂']	['シ', 'スイ', 'タン']	[]	[]	0	0
汪	['王', '氵']	['オウ']	[]	[]	0	0
壹	['口', '豆', '士', '冖']	['イツ', 'イチ']	['饐', '殪', '懿']	[['噎']]	1	0.25
壬	['丿', '玉', '士']	['ニン', 'ジン', 'イ']	['艇', '挺', '酲', '霆', '霪', '凭', '庭', '婬', '梃', '賃', '蟶', '廷', '淫', '郢']	[['妊', '恁', '衽', '任', '荏', '姙', '袵'], ['妊', '恁', '衽', '荏', '姙', '袵']]	7	0.333
忌	['己', '心']	['キ']	[]	[]	0	0
离	['禸', '凵', '冂', '亠', '丿', '凶', '厶', '乂', '㐫']	['リ', 'チ']	['禽', '擒', '檎']	[['黐', '漓', '籬', '璃', '離'], ['黐', '魑']]	5	0.667
駅	['八', '灬', '尺', '尸', '馬']	['エキ']	[]	[]	0	0
贐	['八', '盡', '灬', '聿', '皿', '⺕', '目', '貝', '丨']	['シン']	[]	[]	0	0
洩	['日', '丿', '曳', '氵']	['エイ', 'セツ']	[]	[]	0	0
贄	['丶', '八', '𢆉', '土', '干', '執', '十', '九', '乙', '幸', '目', '貝', '丸', '䒑']	['シ']	[]	[]	0	0
娠	['厂', '辰', '女']	['シン']	[]	[]	0	0
乘	['禾', '木', '匕', '丿', '北']	['ジョウ']	[]	[['剩']]	1	1.0
豢	['二', '豕', '人']	['ケン', 'カン']	[]	[]	0	0
汾	['八', '分', '刀', '氵']	['フン']	[]	[]	0	0
祗	['一', '示', '氏']	['シ']	[]	[]	0	0
彝	['十', '丿', '彑', '米', '廾', '糸']	['イ']	[]	[]	0	0
嫣	['卜', '灬', '焉', '正', '女', '止']	['エン']	[]	[]	0	0
壥	['厂', '土', '灬', '黑', '里', '墨']	['テン']	[]	[]	0	0
饒	['一', '土', '丿', '⻞', '儿', '堯', '兀']	['ジョウ', 'ニョウ']	[]	[]	0	0
蒔	['土', '日', '寺', '時', '艹', '寸']	['シ', 'ジ']	[]	[]	0	0
財	['八', '亅', '扌', '目', '貝', '才']	['ザイ', 'サイ', 'ゾク']	[]	[]	0	0
堽	['卜', '土', '罒', '正', '止']	['コウ']	[]	[]	0	0
必	['丿', '丶', '心']	['ヒツ']	['祕', '密', '樒', '瑟', '秘', '蜜', '櫁']	[['謐', '泌']]	2	0.222
娯	['口', '呉', '八', '女']	['ゴ']	[]	[]	0	0
沸	['弗', '丿', '弓', '氵', '丨']	['フツ']	[]	[]	0	0
沫	['木', '末', '氵']	['マツ', 'バツ']	[]	[]	0	0
秀	['丿', '禾', '木', '乃']	['シュウ']	['誘', '透', '莠']	[['銹', '綉']]	2	0.4
贋	['厂', '隹', '八', '亻', '目', '雁', '貝']	['ガン']	[]	[]	0	0
跳	['冫', '口', '儿', '兆', '足']	['チョウ']	[]	[]	0	0
祚	['示', '乍', '丿']	['ソ']	[]	[]	0	0
汳	['反', '厂', '又', '氵']	['ヘン', 'ベン']	[]	[]	0	0
嫗	['品', '區', '口', '匚', '女']	['ウ', 'オウ']	[]	[]	0	0
壑	['卜', '土', '口', '㕡', '又', '谷']	['ガク', 'カク']	[]	[]	0	0
厦	['厂', '目', '夂', '夏', '自']	['カ', 'サ']	[]	[]	0	0
鈑	['反', '厂', '金', '又']	['バン', 'ハン']	[]	[]	0	0
暾	['攵', '日', '亠', '丿', '子', '口', '享', '敦', '乂', '𠂉']	['トン']	[]	[]	0	0
脾	['日', '十', '丿', '卑', '月']	['ヒ']	[]	[]	0	0
虜	['一', '田', '力', '七', '虍', '男']	['リョ', 'ロ']	[]	[]	0	0
狷	['口', '肙', '月', '⺨']	['ケン']	[]	[]	0	0
晄	['一', '日', '丿', '⺌', '光', '儿', '兀']	['コウ']	[]	[]	0	0
長	[]	['チョウ']	['肆', '髯', '髭', '髢', '髣', '髮', '髪', '髦', '套', '髟', '鬣', '鬢', '鬘', '鬚', '鬟', '鬆', '髻', '髴', '髷', '髱']	[['帳', '悵', '髫', '張', '萇', '脹', '漲']]	7	0.259
嶇	['品', '區', '口', '匚', '山']	['ク']	[]	[]	0	0
ゥ	[]	[]	[]	[]	0	0
蚶	['中', '甘', '十', '口', '虫', '廿', '丨']	['カン']	[]	[]	0	0
疥	['疒', '丿', '人', '介', '丨']	['カイ']	[]	[]	0	0
爨	['火', '木', '𤍾', 'コ', '⿵𠔼コ', '𤆍', '大', '冖', '林', '𦥑']	['サン']	[]	[]	0	0
爛	['火', '木', '柬', '束', '門', '闌', '口']	['ラン']	[]	[]	0	0
ぽ	[]	[]	[]	[]	0	0
后	['口', '厂', '丿']	['コウ', 'ゴ']	[]	[['逅', '垢', '詬']]	3	1.0
閠	['王', '丶', '玉', '門']	['ケイ', 'ギョク', 'ジュン']	[]	[]	0	0
蛍	['中', '口', '冖', '虫', '⺍', '丨']	['ケイ']	[]	[]	0	0
脳	['凵', '丿', '凶', '⺍', '乂', '月']	['ノウ', 'ドウ']	[]	[]	0	0
て	[]	[]	[]	[]	0	0
危	['厂', '丿', '厄', '𠂊', '卩']	['キ']	['脆', '鮠']	[['詭', '跪']]	2	0.5
處	['一', '丿', '処', '七', '夂', '虍', '几']	['ショ']	[]	[]	0	0
畦	['田', '土', '圭']	['ケイ']	[]	[]	0	0
箋	['戔', '丶', '丿', '竹', '戈', '弋']	['セン']	[]	[]	0	0
晋	['一', '日', '业', '亚', '二']	['シン']	[]	[]	0	0
箟	['匕', '比', '日', '昆', '竹']	['キン']	[]	[]	0	0
臟	['厂', '丶', '臣', '爿', '丿', '臧', '藏', '戈', '艹', '月', '弋']	['ゾウ']	[]	[]	0	0
袙	['日', '白', '衤']	['バツ', 'ハ']	[]	[]	0	0
鋲	['一', '八', '斤', '金', '兵', '丘']	[]	[]	[]	0	0
晟	['丶', '日', '丿', '𠂊', '成', '戈', '弋']	['セイ', 'ジョウ']	[]	[]	0	0
哨	['口', '小', '肖', '月']	['ショウ']	[]	[]	0	0
ガ	[]	[]	[]	[]	0	0
ス	[]	[]	[]	[]	0	0
ひ	[]	[]	[]	[]	0	0
吃	['口', '乙', '乞']	['キツ']	[]	[]	0	0
曇	['日', '云', '雲', '雨', '厶', '二']	['ドン']	[]	[['罎', '壜']]	2	1.0
疹	['彡', '疒']	['シン', 'チン']	[]	[]	0	0
輒	['𦔮', '耳', '車']	['チョウ']	[]	[]	0	0
縡	['亠', '十', '立', '宀', '冖', '辛', '宰', '糸']	['サイ']	[]	[]	0	0
嵐	['中', '丨', '丿', '風', '口', '虫', '山', '几']	['ラン']	[]	[]	0	0
衲	['入', '人', '内', '冂', '衤']	['ドウ', 'ノウ']	[]	[]	0	0
橙	['登', '木', '豆', '癶', '口']	['トウ']	[]	[]	0	0
暇	['日', '叚', '又']	['カ']	[]	[]	0	0
魍	['田', '罒', '冂', '亠', '丿', '鬼', '罔', '匸', '厶', '亡', '儿']	['モウ', 'ボウ']	[]	[]	0	0
詠	['丶', '水', '言', '口', '永']	['エイ']	[]	[]	0	0
尢	['丿', '儿']	['オウ']	['稽', '蹴', '就', '疣', '尤', '犹', '鷲', '尨', '肬', '厖']	[]	0	0
縵	['罒', '日', '曼', '又', '糸']	['マン', 'バン']	['蘰']	[]	0	0
篋	['从', '夾', '大', '匚', '人', '竹']	['キョウ']	[]	[]	0	0
梠	['口', '丿', '木', '呂']	['ロ', 'リョ']	[]	[]	0	0
輝	['一', '丿', '⺌', '冖', '光', '車', '儿', '兀', '軍']	['キ']	[]	[]	0	0
誣	['从', '巫', '言', '口', '工', '人']	['フ']	[]	[]	0	0
衽	['士', '丿', '衤', '壬']	['ジン', 'ニン']	[]	[]	0	0
档	['⺌', '木', '⺕', '当']	['トウ']	[]	[]	0	0
詈	['口', '言', '罒']	['リ']	[]	[]	0	0
峡	['从', '夹', '大', '人', '山', '二']	['キョウ', 'コウ']	[]	[]	0	0
嵋	['眉', '山', '目']	['ビ']	[]	[]	0	0
魂	['田', '丿', '云', '鬼', '厶', '二', '儿']	['コン']	[]	[]	0	0
點	['卜', '占', '灬', '黑', '口', '里']	['テン']	[]	[]	0	0
桷	['木', '角', '𠂊']	['カク']	[]	[]	0	0
縉	['日', '厶', '晉', '二', '糸']	['シン']	[]	[]	0	0
梯	['木', '弔', '丿', '弓', '弟', '丨']	['テイ', 'タイ']	[]	[]	0	0
範	['卩', '竹', '車']	['ハン']	[]	[]	0	0
尭	['一', '卉', '十', '丿', '儿', '廾', '兀']	['ギョウ']	['焼']	[['暁']]	1	0.5
勲	['灬', '重', '十', '丿', '力', '千', '里', '動']	['クン']	[]	[]	0	0
獻	['一', '丶', '鬲', '丿', '大', '口', '七', '儿', '虍', '冂', '犬']	['ケン', 'コン']	[]	[]	0	0
聊	['卯', '耳', '丿', '卩']	['リョウ']	[]	[]	0	0
鐃	['一', '土', '金', '丿', '儿', '堯', '兀']	['ドウ', 'ニョウ']	[]	[]	0	0
刹	['丿', '乂', '木', '刂']	['セチ', 'セツ', 'サツ']	[]	[]	0	0
悼	['卜', '卓', '早', '日', '十', '忄']	['トウ']	[]	[]	0	0
悩	['凵', '丿', '凶', '⺍', '乂', '忄']	['ノウ']	[]	[]	0	0
胄	['日', '由', '丨', '月']	['チュウ']	[]	[]	0	0
蜉	['中', '孚', '子', '口', '虫', '⺤', '丨']	['フ']	[]	[]	0	0
聞	['耳', '門']	['ブン', 'モン']	[]	[]	0	0
瓱	['瓦', '毛', '丶']	[]	[]	[]	0	0
柞	['丿', '乍', '木']	['サク']	[]	[]	0	0
恂	['勹', '日', '丿', '旬', '忄']	['ジュン', 'シュン']	[]	[]	0	0
宕	['口', '冖', '石', '宀']	['トウ']	[]	[]	0	0
柧	['厶', '丿', '木', '瓜']	['コ', 'カ']	[]	[]	0	0
鶇	['木', '灬', '鳥', '日', '東']	['トウ', 'ツ']	[]	[]	0	0
鍬	['禾', '木', '火', '丿', '金', '秋']	['ショウ', 'シュウ']	[]	[]	0	0
啣	['卜', '干', '十', '正', '午', '口', '止', '卸', '卩']	['カン']	[]	[]	0	0
朿	['冂', '木']	['シ']	['策', '蕀', '棘', '棗']	[['刺']]	1	0.2
鐚	['心', '金', '惡', '亞', '二']	['ワ', 'ア']	[]	[]	0	0
末	['丿', '木']	['マツ', 'バツ']	[]	[['靺', '沫', '茉', '秣', '抹'], ['靺', '沫', '茉', '秣']]	5	1.0
悵	['長', '忄']	['チョウ']	[]	[]	0	0
理	['王', '里', '日']	['リ']	[]	[]	0	0
刑	['十', '刂', '干', '开']	['ケイ']	[]	[['荊', '型']]	2	1.0
宜	['一', '宀', '冖', '且', '月']	['ギ']	[]	[['萓', '誼']]	2	1.0
染	['乙', '木', '九', '氵']	['セン']	[]	[]	0	0
恍	['一', '兀', '丿', '⺌', '光', '儿', '忄']	['コウ']	[]	[]	0	0
糸	[]	['シ']	['羂', '絎', '綴', '総', '絃', '綻', '綛', '綏', '縮', '縺', '縣', '縷', '徽', '縢', '綜', '終', '絖', '綵', '欒', '絏', '絛', '絨', '綺', '続', '縻', '鯀', '彝', '縡', '縵', '縉', '絅', '綽', '絹', '経', '網', '縱', '臠', '彎', '懸', '縫', '經', '絋', '緊', '結', '組', '綾', '攣', '羅', '騾', '絆', '綱', '縦', '縲', '總', '績', '綟', '綰', '絞', '綿', '緋', '累', '線', '素', '螺', '巒', '織', '纎', '纃', '灣', '纖', '纂', '繕', '繁', '繩', '紡', '紵', '紮', '締', '紺', '緯', '鑼', '繚', '繃', '纛', '纏', '纔', '纜', '繖', '繍', '索', '緜', '緡', '緕', '紲', '緬', '緑', '轡', '繆', '繝', '續', '纐', '繊', '繞', '辮', '緤', '紳', '緝', '紬', '緒', '鑾', '繹', '纒', '蘰', '纓', '蘿', '繋', '紘', '紿', '緞', '細', '戀', '紜', '紕', '繼', '繡', '繻', '櫞', '紀', '純', '紛', '納', '籘', '紂', '緩', '潔', '繭', '纉', '纈', '紗', '緻', '編', '級', '練', '變', '緘', '紊', '繧', '繪', '蠻', '蘊', '遜', '繽', '繦', '係', '紆', '紐', '約', '紋', '繰', '繫', '繿', '邏', '繙', '紹', '緲', '紅', '絶', '絢', '糾', '綉', '鸞', '葯', '絣', '綯', '絮', '瘰', '綢', '絡', '絵', '維', '縁', '縛', '綮', '綣', '縄', '縟', '縋', '縹', '縅', '統', '系', '絳', '綸', '綫', '孫', '縊', '縞', '継', '絽', '給', '糺', '綬']	[['緇', '紙', '紫', '縒', '絲']]	5	0.024
肋	['月', '力']	['ロク']	['筋']	[]	0	0
俱	['八', '亻', '具', '目']	['ク']	[]	[]	0	0
椚	['木', '門']	[]	[]	[]	0	0
鰭	['田', '魚', '灬', '土', '匕', '日', '耆', '耂', '老', '𠂊']	['キ', 'ギ']	[]	[]	0	0
