literal	components	onyomi	component_only_set	phono_component_sets	largest_phonetic_set_size	reliability_rating
伐	['丶', '丿', '亻', '戈', '弋']	['バツ', 'ハツ', 'ボチ', 'カ']	[]	[['閥', '筏'], ['筏'], ['筏']]	2	1.0
寃	['丶', '丿', '宀', '免', '冖', '𠂊', '兔', '儿']	['エン']	[]	[]	0	0
帽	['日', '巾', '目', '冒']	['ボウ', 'モウ']	[]	[]	0	0
鰯	['田', '冫', '魚', '灬', '弱', '弓', '𠂊']	[]	[]	[]	0	0
褄	['妻', '衤', '⺕', '女']	[]	[]	[]	0	0
総	['八', '心', '公', '厶', '忩', '糸']	['ソウ']	[]	[]	0	0
検	['一', '木', '㑒', '口', '人']	['ケン']	[]	[]	0	0
伸	['日', '亻', '申', '丨']	['シン']	[]	[]	0	0
孀	['木', '相', '雨', '目', '女', '霜']	['ソウ']	[]	[]	0	0
俳	['非', '亻']	['ハイ']	[]	[]	0	0
玉	['王', '丶']	['ギョク']	['壬', '国', '宝', '璧', '掴', '璽', '瑩', '椢', '筺']	[['閠']]	1	0.1
悗	['丿', '免', '𠂊', '儿', '忄']	['バン', 'マン']	[]	[]	0	0
絃	['亠', '幺', '糸', '玄']	['ゲン']	[]	[]	0	0
肝	['十', '月', '干']	['カン']	[]	[]	0	0
悃	['囗', '忄', '困', '木']	['コン']	[]	[]	0	0
鵝	['丶', '鳥', '灬', '丿', '亅', '我', '戈', '弋']	['ガ']	[]	[]	0	0
孔	['乙', '子']	['コウ', 'ク']	[]	[['吼'], ['吼']]	1	1.0
廬	['厂', '一', '田', '皿', '广', '盧', '七', '虍']	['ロ', 'リョ']	[]	[]	0	0
鰈	['田', '一', '木', '魚', '灬', '十', '枼', '𠂊', '廿', '世']	['チョウ', 'トウ']	[]	[]	0	0
鰻	['田', '魚', '灬', '罒', '日', '曼', '𠂊', '又']	['マン', 'バン']	[]	[]	0	0
褐	['勹', '匕', '日', '曷', '匂', '丿', '人', '衤']	['カツ']	[]	[]	0	0
